пол,плутон,нептун,уран,сатурн,юпитер,годы в днях
F,2.53.4,3.36.5,18.34.11,26.56.4,26.58.1,23865
M,5.38.2,19.44.12,24.55.2,9.57.4,8.41.1,21590
M,16.41.3,27.1.3,4.52.9,18.9.9,10.50.8,2076
M,,,,,,
M,26.40.4,17.32.6,6.54.2,24.32.12,21.9.10,23573
M,,,,,,
M,29.43.4,18.55.6,13.21.2,2.17.1,17.30.10,29703
M,26.30.4,16.59.6,7.54.2,27.6.12,24.16.10,
M,26.35.4,17.18.6,7.16.2,25.34.12,22.30.10,28940
M,27.12.4,18.21.6,5.53.2,20.50.12,15.9.10,21165
M,29.57.4,19.29.6,12.54.2,1.4.1,18.4.10,27667
M,29.19.4,18.11.6,13.39.2,3.40.1,17.53.10,29559
M,28.32.4,17.10.6,13.30.2,5.0.1,20.36.10,26537
M,27.17.4,18.27.6,5.48.2,20.22.12,14.13.10,28427
M,29.13.4,18.2.6,13.40.2,3.55.1,18.7.10,27608
M,26.29.4,16.45.6,8.24.2,28.12.12,25.21.10,26121
M,26.33.4,16.26.6,9.20.2,0.6.1,26.44.10,28378
M,29.23.4,18.18.6,13.37.2,3.28.1,17.44.10,23572
M,28.37.4,18.16.6,13.33.2,4.56.1,20.14.10,24241
M,26.32.4,16.28.6,9.14.2,29.54.12,26.37.10,21004
M,29.30.4,18.31.6,13.33.2,3.5.1,17.33.10,27076
M,27.11.4,18.21.6,5.53.2,20.52.12,15.13.10,12875
M,26.44.4,17.39.6,6.43.2,24.0.12,20.24.10,11258
M,28.29.4,17.7.6,13.28.2,5.2.1,20.50.10,29627
M,26.34.4,17.14.6,7.24.2,25.52.12,22.53.10,13299
F,27.40.4,18.46.6,5.37.2,18.38.12,10.23.10,23822
M,26.32.4,17.8.6,7.34.2,26.19.12,23.25.10,26081
M,27.30.4,18.42.6,5.38.2,19.1.12,11.19.10,21195
M,29.8.4,21.9.6,9.54.2,28.59.12,1.51.11,24412
M,26.44.4,17.40.6,6.42.2,23.56.12,20.18.10,10467
M,29.17.4,18.9.6,13.39.2,3.44.1,17.56.10,24153
M,0.5.5,20.42.6,11.17.2,28.38.12,22.57.10,12603
F,26.33.4,17.10.6,7.30.2,26.10.12,23.14.10,25597
M,26.39.4,16.17.6,9.56.2,1.11.1,27.11.10,28108
M,0.6.5,20.6.6,12.13.2,29.44.12,19.44.10,19610
M,29.26.4,21.8.6,9.51.2,29.5.12,2.20.11,19186
M,26.43.4,17.38.6,6.45.2,24.6.12,20.32.10,24328
M,26.58.4,16.10.6,11.9.2,3.7.1,27.3.10,27680
M,27.37.4,18.44.6,5.38.2,18.50.12,10.52.10,21675
